sourcemac;timestamp;x_m;y_m;z_m;eta
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:02:45;-38.4559741325;91.088003233;0.121322020715;-53.6095940981
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:03:00;-52.3085882307;99.1012523062;-13.4718112326;-41.6395427413
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:03:15;-5.50677956092;68.8039807162;-14.9646695027;-43.767948835
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:03:30;8.4873536795;68.2046781269;3.44628377758;-43.9905329277
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:03:45;10.8156617855;74.7583292615;7.3047743985;-47.0940327478
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:04:00;11.4537060503;73.4296776827;5.74254722224;-48.4007314062
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:04:15;9.31456183052;73.3558164043;6.20022909114;-46.9712980724
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:04:30;10.7261623673;77.3817964229;8.34144346306;-47.7906307438
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:04:45;9.14091589961;78.7297204652;6.33958193934;-45.9346167341
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:05:00;11.2170993839;84.6345819723;-1.13734298088;-46.487472594
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:05:15;-0.0589427072276;78.5899950685;9.95199108336;-48.5782657738
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:05:30;17.3337275858;79.3866584418;-5.55982570702;-45.8466766728
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:05:45;13.8148547681;20.9042943219;34.016880273;-41.969154647
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:06:00;8.80137153523;29.9278582361;47.6351838477;-40.9542745879
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:06:15;27.7268889618;37.7097660677;38.8088906572;-41.8442074645
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:06:30;25.8286633131;36.3291734662;40.0006284374;-41.399940569
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:06:45;43.8991035909;-13.6821182723;130.067558024;-30.5769199735
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:07:00;16.9499365623;10.2524329841;47.926743704;-35.2102460743
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:07:15;-0.619846607016;-13.3608500306;46.3224067635;-33.3720154937
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:07:30;21.02433761;1.9673925944;76.7208347672;-34.7531628482
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:07:45;4.29525528822;-12.8808511722;85.1752081143;-33.9339784177
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:08:00;31.3446941351;-13.9193604776;76.1614466382;-33.9623040788
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:08:15;16.137946586;15.3570371504;45.4623535113;-35.7509954707
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:08:30;24.9661085192;20.75674186;38.5729920222;-36.715686835
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:08:45;31.110059326;22.0922865069;43.409360478;-35.968090746
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:09:00;26.873891082;12.9542992032;63.6386873231;-35.6020561578
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:09:15;34.3793877452;22.7585449363;38.1367590639;-35.1762017291
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:09:30;25.687043471;26.6719261636;37.9571293294;-35.7760423915
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:09:45;27.294182799;24.7138599439;43.72324274;-36.6709780473
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:10:00;20.2046982355;33.66148066;38.3029038471;-36.2019988577
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:10:15;28.4331239591;6.69871494269;68.9720113425;-33.9544189094
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:10:30;17.4280554139;11.0315320105;66.1135071905;-33.3893819881
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:10:45;26.7949163691;4.29880671053;63.76985732;-35.266660638
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:11:00;14.3575082098;17.7369419799;49.7265719895;-34.7415652548
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:11:15;15.0654107919;-4.03346828918;90.4960030441;-33.7573901181
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:11:30;14.7566290303;4.85010514422;36.8717537539;-35.1477093832
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:11:45;22.7890118688;8.2297751441;59.5104725377;-34.4618629264
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:12:00;22.6300991105;6.21977847273;90.8130289363;-32.3516277336
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:12:15;-39.0043914344;-86.3610227633;122.790377761;-28.9931947188
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:12:30;28.9375097011;-38.8286920015;61.3580157762;-33.0622476124
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:12:45;5.85555497589;-45.8131544365;108.831479154;-31.7351365579
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:13:00;21.4980494235;-22.1308785282;88.6658864399;-34.1044276023
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:13:15;17.9290115452;8.2338361102;51.2522745526;-35.5001389327
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:13:30;29.1773279751;26.5437979367;63.3488279495;-33.7913418965
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:13:45;23.0847059704;17.3356251025;40.3473998553;-33.8893010651
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:14:00;10.6410918146;12.2986938853;31.1335874957;-34.7464901318
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:14:15;23.4877652627;73.1936656639;11.6981010838;-43.672399602
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:14:30;18.8669579745;96.4435072715;8.68925976102;-42.0018053215
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:14:45;23.0298161616;95.8872491908;-18.5722185667;-42.8672182132
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:15:00;88.9715538517;66.4161153107;9.87048326788;-44.472256535
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:15:15;79.0705638623;60.7478863992;14.7081322246;-48.8015687205
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:15:30;77.5120715333;62.2059689678;14.0356641807;-43.1403340891
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:15:45;79.1346675115;60.0998909227;14.1730552686;-45.9729901804
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:16:00;79.4624321611;60.7463717563;15.1979222209;-46.1176518472
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:16:15;85.5091581003;81.220465174;19.2089131643;-42.5920206219
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:16:30;50.9466569291;65.2330193569;7.26926918851;-44.5262841415
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:16:45;22.1081607853;95.1706910758;7.70681359881;-42.567906629
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:17:00;18.7359919321;81.9686082726;6.58534815547;-41.3913401114
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:17:15;6.60099493835;85.3299289044;2.17747160669;-42.3123146933
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:17:30;11.7893206425;73.2817127532;5.63913440352;-47.2764709236
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:17:45;12.6426966647;72.1531296796;5.93546386606;-48.6053652154
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:18:00;12.5531180156;72.1767718599;5.89594996555;-47.0350067796
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:18:15;11.3766530927;72.9255701851;5.34930772431;-45.7282046074
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:18:30;11.3861435215;73.283486676;5.92980539103;-47.8061654791
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:18:45;12.3783595669;72.4488101366;5.81218225758;-48.1282542565
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:19:00;12.6351211563;72.1759225975;5.75506039602;-45.8145943371
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:19:15;25.6757006004;77.1688121628;-0.82397918249;-42.8112092498
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:19:30;21.487861898;101.174705754;-1.19861357073;-39.2438938683
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:19:45;57.8446493717;88.9547764962;-14.2215346972;-40.7609274553
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:20:00;72.9600853075;49.7208137899;0.753837581089;-41.7529727301
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:20:15;71.3035997147;55.2912658737;5.00549294845;-44.8335547765
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:20:30;74.5996335579;52.7703522586;0.388453035257;-44.0625060669
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:20:45;98.2992012087;53.421556537;-4.11904567295;-39.8444771575
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:21:00;96.6421592897;1.96627062029;0.87728857769;-44.0458753881
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:21:15;94.4973659138;0.890637974158;6.3935197012;-46.7411146495
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:21:30;94.8659645201;0.175274552593;5.33406738433;-45.9356216948
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:21:45;111.466510273;-22.1284257748;2.79738949733;-42.5437295766
